No, BgnLogMi, EndLogMi, L_IRI(in/mi), R_IRI(in/mi), L_RN, R_RN, Speed(mi/h), RefImgNo, RefY,RefDMI(ft),Longitude,Latitude
1,0,0.001,35.2,36.8,4,4.21,18.1,0,2047,0,-87.165268,38.672131
2,0.001,0.002,25.5,11,4.24,4.32,18.3,0,417,6,-87.165268,38.672115
3,0.002,0.003,132.7,82.7,2.84,3.6,18.5,1,834,12,-87.165276,38.6721
4,0.003,0.005,106.4,114.2,2.39,3.15,18.7,2,1251,18,-87.165283,38.672085
5,0.005,0.006,19.6,39.7,3.49,3.76,18.9,3,1668,24,-87.165283,38.672066
6,0.006,0.007,439.9,114.3,0.81,1.24,19,3,37,30,-87.165291,38.67205
7,0.007,0.008,82.4,540.2,2.54,0.2,19.1,4,454,36,-87.165298,38.672035
8,0.008,0.009,47.8,36.3,4.12,4.14,19.2,5,871,42,-87.165306,38.67202
9,0.009,0.01,213.1,22,2.01,4.51,19.2,6,1288,48,-87.165306,38.672005
10,0.01,0.011,119.9,29.8,2.97,3.01,19.2,7,1705,54,-87.165314,38.671989
11,0.011,0.013,48.5,35.9,4.16,4.24,19.3,7,74,60,-87.165321,38.671974
12,0.013,0.014,45.6,39,3.67,3.02,19.4,8,492,66,-87.165321,38.671955
13,0.014,0.015,26.6,56.3,4,3.91,19.5,9,909,72,-87.165329,38.67194
14,0.015,0.016,87.8,67.9,3.33,3.88,19.7,10,1326,78,-87.165337,38.671925
15,0.016,0.017,75.4,89.7,3.3,3.2,19.9,11,1743,84,-87.165337,38.671909
16,0.017,0.018,92.6,24.9,3.18,3.25,20,11,112,90,-87.165344,38.671894
17,0.018,0.019,59.5,35.2,3.59,4.1,20.2,12,529,96,-87.165352,38.671879
18,0.019,0.02,51.1,17.3,3.71,3.95,20.5,13,946,102,-87.165352,38.671864
19,0.02,0.022,33.1,34,4.01,3.94,20.7,14,1363,108,-87.165359,38.671848
20,0.022,0.023,30.8,16,4.05,4.52,20.9,15,1780,114,-87.165367,38.671829
21,0.023,0.024,26.1,23.7,3.93,3.98,21.1,15,149,120,-87.165375,38.671818
22,0.024,0.025,14.4,18.2,4.3,4.13,21.3,16,566,126,-87.165375,38.671799
23,0.025,0.026,29.8,21.6,3.69,4.15,21.4,17,984,132,-87.165382,38.671783
24,0.026,0.027,78.5,55,3.64,3.56,21.6,18,1401,138,-87.16539,38.671768
25,0.027,0.028,53.6,5.3,3.91,4.66,21.8,19,1818,144,-87.16539,38.671753
26,0.028,0.03,91.8,12.9,3.45,4.24,22,19,187,150,-87.165398,38.671738
27,0.03,0.031,40.7,91,3.08,2.95,22.2,20,604,156,-87.165405,38.671722
28,0.031,0.032,38.6,7.1,4.03,4.48,22.3,21,1021,162,-87.165405,38.671707
29,0.032,0.033,51.8,16.6,3.45,4.37,22.5,22,1438,168,-87.165413,38.671692
30,0.033,0.034,33.3,18.6,4.08,4.41,22.7,23,1855,174,-87.165421,38.671677
31,0.034,0.035,53.7,58.5,3.87,3.71,22.8,23,224,180,-87.165421,38.671658
32,0.035,0.036,76.3,9.3,3.47,4.55,23,24,641,186,-87.165428,38.671642
33,0.036,0.038,38.9,15.9,3.52,4,23.1,25,1058,192,-87.165436,38.671627
34,0.038,0.039,41.6,28.3,3.87,4.12,23.3,26,1476,198,-87.165443,38.671612
35,0.039,0.04,73,45,1.76,2.77,23.4,27,1893,204,-87.165443,38.671597
36,0.04,0.041,14,36.3,4.3,4.21,23.6,27,262,210,-87.165451,38.671581
37,0.041,0.042,41.5,21.3,3.76,4.33,23.7,28,679,216,-87.165459,38.671566
38,0.042,0.043,105.5,36.6,2.98,3.7,23.8,29,1096,222,-87.165459,38.671551
39,0.043,0.044,69.6,14.2,3.53,4.53,24,30,1513,228,-87.165466,38.671535
40,0.044,0.045,60,12.1,3.98,4.45,24.1,31,1930,234,-87.165474,38.671516
41,0.045,0.047,59.6,16.6,3.74,4.26,24.2,31,299,240,-87.165482,38.671501
42,0.047,0.048,46.1,6.3,3.69,4.45,24.4,32,716,246,-87.165482,38.671486
43,0.048,0.049,57.8,15.8,3.75,3.83,24.5,33,1133,252,-87.165489,38.671471
44,0.049,0.05,21.4,26.2,4.23,4.38,24.6,34,1551,258,-87.165497,38.671455
45,0.05,0.051,28.1,17.5,3.08,4.28,24.7,35,1968,264,-87.165497,38.67144
46,0.051,0.052,34.9,12.5,3.82,4.41,24.9,35,337,270,-87.165504,38.671425
47,0.052,0.053,42.7,22.1,3.6,4.18,25,36,754,276,-87.165512,38.67141
48,0.053,0.055,72.8,8,3.47,4.45,25.1,37,1171,282,-87.16552,38.671391
49,0.055,0.056,33.1,7.9,3.83,4.54,25.2,38,1588,288,-87.16552,38.671375
50,0.056,0.057,125,17.4,2.84,3.63,25.2,39,2005,294,-87.165527,38.67136
51,0.057,0.058,53.4,5.8,3.23,4.58,25.3,39,374,300,-87.165535,38.671345
52,0.058,0.059,36.8,27.3,3.79,4.07,25.4,40,791,306,-87.165543,38.671329
53,0.059,0.06,32.4,17.1,3.75,4.21,25.5,41,1208,312,-87.165543,38.671314
54,0.06,0.061,42.1,15,3.64,4.51,25.6,42,1625,318,-87.16555,38.671299
55,0.061,0.063,86.6,16.1,3.17,4.23,25.7,43,2043,324,-87.165558,38.671284
56,0.063,0.064,45.7,31.1,3.61,4.14,25.8,43,412,330,-87.165558,38.671268
57,0.064,0.065,50.3,21.3,2.73,4.27,25.9,44,829,336,-87.165565,38.671249
58,0.065,0.066,37.1,32.8,3.75,3.92,26,45,1246,342,-87.165573,38.671234
59,0.066,0.067,11.3,39.8,4.23,3.91,26.2,46,1663,348,-87.165573,38.671219
60,0.067,0.068,80.5,99.4,2.85,1.46,26.3,46,32,354,-87.165581,38.671204
61,0.068,0.069,98.3,106,3.06,3.23,26.4,47,449,360,-87.165588,38.671188
62,0.069,0.07,63.8,19.6,3.44,4.08,26.5,48,866,366,-87.165588,38.671173
63,0.07,0.072,66.5,32.3,3.73,4.21,26.5,49,1283,372,-87.165596,38.671158
64,0.072,0.073,41.9,14.2,3.49,3.9,26.6,50,1700,378,-87.165604,38.671143
65,0.073,0.074,29.8,27,4.11,4.01,26.7,50,69,384,-87.165611,38.671124
66,0.074,0.075,66.2,15.4,3.24,3.99,26.8,51,487,390,-87.165611,38.671108
67,0.075,0.076,61.5,28.8,3.67,4.36,26.8,52,904,396,-87.165619,38.671093
68,0.076,0.077,88.1,17.2,3.59,3.95,26.9,53,1321,402,-87.165627,38.671078
69,0.077,0.078,73.7,16,3.37,3.97,27,54,1738,408,-87.165627,38.671062
70,0.078,0.08,39.3,8.4,3.75,4.48,27,54,107,414,-87.165634,38.671047
71,0.08,0.081,27.3,41,3.91,2.59,27.1,55,524,420,-87.165642,38.671032
72,0.081,0.082,136,56.7,2.67,3.14,27.2,56,941,426,-87.165642,38.671017
73,0.082,0.083,25.5,37.9,3.99,4.1,27.2,57,1358,432,-87.165649,38.670998
74,0.083,0.084,26.1,62.9,3.71,3.75,27.3,58,1775,438,-87.165657,38.670982
75,0.084,0.085,49.6,19,3.68,4.23,27.4,58,144,444,-87.165657,38.670967
76,0.085,0.086,75.4,65.5,3.35,3.42,27.4,59,562,450,-87.165665,38.670952
77,0.086,0.088,27.1,68.4,4.24,3.73,27.5,60,979,456,-87.165672,38.670937
78,0.088,0.089,47.9,15,3.73,3.85,27.5,61,1396,462,-87.165672,38.670921
79,0.089,0.09,77.6,131.3,3.27,2.48,27.6,62,1813,468,-87.16568,38.670906
80,0.09,0.091,47.8,10.4,3.94,4.08,27.6,62,182,474,-87.165688,38.670891
81,0.091,0.092,34.1,12.1,3.96,4.19,27.7,63,599,480,-87.165688,38.670876
82,0.092,0.093,92.3,11,3.5,4.43,27.7,64,1016,486,-87.165695,38.670856
83,0.093,0.094,43.6,81.7,4.11,3.25,27.8,65,1433,492,-87.165703,38.670841
84,0.094,0.095,47.3,5.8,3.8,4.67,27.8,66,1850,498,-87.165703,38.67083
