DMI,density_z4,R_IRI,DMI_z2_x,density_z2,L_IRI,index,DMI_id,Density_x_y,R_IRI_y,DMI_z2_y,Density_y_y,L_IRI_y,DMI_fwd,D0,D48,SCI,BDI,BCI,Latitude,Longitude,Patching_color_map,Patching_depth,Patching_color
0,1.256,36.8,0,1.053,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.672131,-87.165268,Good_condition,1,green
6,0.0,11.0,6,0.283,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.672115,-87.165268,Good_condition,1,green
12,0.0,82.7,12,2.57,132.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6721,-87.165276,Surface_patching_warning,2,yellow
18,0.0,114.2,18,1.853,106.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.672085,-87.165283,Surface_patching_warning,2,yellow
24,0.0,39.7,24,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.672066,-87.165283,Good_condition,1,green
30,1.946,114.3,30,4.289,439.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67205,-87.165291,Full_depth_patching,7,red
36,0.202,540.2,36,0.942,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.672035,-87.165298,Full_depth_patching,7,red
42,0.0,36.3,42,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67202,-87.165306,Good_condition,1,green
48,0.0,22.0,48,0.0,213.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.672005,-87.165306,Surface_patching_warning,2,yellow
54,3.55,29.8,54,1.692,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671989,-87.165314,Surface_patching_warning,2,yellow
60,0.327,35.9,60,0.717,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671974,-87.165321,Good_condition,1,green
66,1.628,39.0,66,0.322,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671955,-87.165321,Good_condition,1,green
72,0.0,56.3,72,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67194,-87.165329,Good_condition,1,green
78,2.355,67.9,78,0.667,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671925,-87.165337,Surface_patching_warning,2,yellow
84,3.36,89.7,84,2.407,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671909,-87.165337,Surface_patching_warning,2,yellow
90,0.729,24.9,90,1.593,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671894,-87.165344,Surface_patching_warning,2,yellow
96,1.542,35.2,96,0.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671879,-87.165352,Good_condition,1,green
102,0.747,17.3,102,2.114,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671864,-87.165352,Good_condition,1,green
108,2.427,34.0,108,1.859,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671848,-87.165359,Good_condition,1,green
114,0.958,16.0,114,0.801,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671829,-87.165367,Good_condition,1,green
120,4.615,23.7,120,0.713,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671818,-87.165375,Good_condition,1,green
126,3.454,18.2,126,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671799,-87.165375,Good_condition,1,green
132,2.362,21.6,132,1.152,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671783,-87.165382,Good_condition,1,green
138,6.343,55.0,138,1.883,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671768,-87.16539,Surface_patching_warning,2,yellow
144,2.709,5.3,144,0.327,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671753,-87.16539,Good_condition,1,green
150,2.062,12.9,150,0.0,91.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.671738,-87.165398,Surface_patching_warning,2,yellow
